ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
LINDEINDIA,2026-06-11,57163.2,57129.97,103.78,58.51,13.52,22.59,13.76,18.25,10.13,41.92,122.64,106.23,113.6,13.02,13.84,0.02,0.86,51.14,2530.64,,,,-6.89,11.46,35.92,,,1.44,1.44,30.03,75.0,2.05,6.88,16.08,,,,78.92,,,screener,2026-06-11T12:45:34.591728+05:30
LLOYDSME,2026-06-11,95197.92,99829.81,29.83,21.39,8.05,6.96,35.09,35.86,21.97,18.67,31.58,32.73,28.24,37.07,40.29,0.47,0.85,33.44,13680.6,,,,59.79,122.42,33.02,,,52.35,52.35,655.05,61.65,2.26,1.71,34.35,,,,5504.5,,,screener,2026-06-11T12:45:34.591728+05:30
LODHA,2026-06-11,85814.28,92124.18,25.01,17.14,3.66,5.15,15.77,16.58,6.32,26.02,50.82,47.08,46.56,13.84,12.8,0.42,1.75,7.66,16676.2,,,,20.76,25.07,29.51,,,57.46,57.46,59.02,72.27,21.24,4.62,1.85,,,,9896.0,,,screener,2026-06-11T12:45:34.591728+05:30
LT,2026-06-11,531884.41,636533.33,32.42,15.56,4.89,1.86,15.86,14.57,4.65,17.24,34.62,32.42,27.79,15.52,13.9,1.15,1.0,3.63,285874.36,26000.0,14800.0,14.5,12.8,16.02,12.39,6.4,18.2,17.38,17.38,3.38,0.0,18.78,43.32,37.64,2025-01-23,Q3FY25,28000.0,125496.59,95.0,11500.0,screener,2026-06-11T12:45:34.591728+05:30
LTF,2026-06-11,64842.47,167181.09,21.59,15.24,2.31,3.62,11.22,8.4,2.29,20.35,18.81,19.55,19.56,10.8,7.7,3.94,2.76,1.6,17913.67,,,,11.93,6.05,61.23,,,255.77,255.77,32.35,65.99,7.64,14.91,11.48,,,,110297.66,,,screener,2026-06-11T12:45:34.591728+05:30
LTFOODS,2026-06-11,12968.2,14241.2,20.74,11.47,2.87,1.18,14.94,17.74,7.59,18.18,20.78,12.72,10.48,16.76,16.62,0.36,1.76,7.62,10945.56,,,,16.43,18.7,10.59,,,16.16,16.16,17.99,51.01,8.74,10.3,29.97,,,,1610.05,,,screener,2026-06-11T12:45:34.591728+05:30
LTM,2026-06-11,113582.21,113079.81,21.0,13.07,4.72,2.68,23.13,29.6,15.85,20.32,34.34,34.14,27.28,23.14,25.7,0.1,1.6,27.49,42307.6,,,,8.43,27.88,17.86,,,7.03,7.03,22.79,68.52,6.63,16.9,7.82,,,,2310.0,,,screener,2026-06-11T12:45:34.591728+05:30
LTTS,2026-06-11,35469.89,34397.89,26.27,15.77,5.48,3.23,21.53,26.71,13.46,23.57,37.7,37.99,33.32,23.16,24.24,0.09,1.84,28.64,10995.9,,,,7.65,15.07,17.6,,,3.58,3.58,15.78,73.57,3.86,14.64,7.93,,,,578.5,,,screener,2026-06-11T12:45:34.591728+05:30
LUPIN,2026-06-11,103192.83,104156.11,17.89,11.27,4.59,3.69,29.08,30.32,17.19,31.66,37.17,38.56,31.28,22.28,13.14,0.29,1.9,18.1,27958.03,,,,18.88,13.02,31.53,,,141.27,141.27,37.4,46.86,21.7,25.32,6.13,,,,6616.18,,,screener,2026-06-11T12:45:34.591728+05:30
M&M,2026-06-11,367195.4,469179.97,20.72,10.92,3.93,1.85,20.79,15.45,6.49,28.15,28.87,26.09,25.14,19.22,18.32,1.44,1.27,3.72,198638.55,,,,17.88,21.74,18.91,,,23.57,23.57,51.28,18.45,36.23,31.37,10.25,,,,133963.15,,,screener,2026-06-11T12:45:34.591728+05:30
